ID,PRODUCT_NAME,PRODUCT_CATEGORY,PRICE
1,UltraWidget,Electronics,99.99
2,MegaGadget,Electronics,149.99
3,PixelCam,Electronics,249.99
4,QuantumPhone,Electronics,699.99
5,SmartLamp,Electronics,59.99
6,SpeedRouter,Electronics,129.99
7,FlexiTablet,Electronics,299.99
8,MiniSpeaker,Electronics,39.99
9,WaveMonitor,Electronics,179.99
10,CoreCharger,Electronics,34.99
11,SoundBarX,Electronics,119.99
12,VisionDrone,Electronics,399.99
13,HomeHub,Electronics,249.99
14,SuperTool,Hardware,29.99
15,TurboDrill,Hardware,89.99
16,MaxiWrench,Hardware,19.99
17,ProHammer,Hardware,24.99
18,GripSaw,Hardware,49.99
19,SteelTape,Hardware,9.99
20,EasyScrewdriver,Hardware,14.99
21,HeavyPlier,Hardware,12.99
22,MultiMeter,Hardware,54.99
23,SafeLock,Hardware,44.99
24,QuickClamp,Hardware,16.99
25,PowerSaw,Hardware,79.99
26,ToolBox,Hardware,39.99
27,PrecisionLevel,Hardware,22.99
28,FreshBlend,Home,89.99
29,ComfyCushion,Home,29.99
30,SmartKettle,Home,59.99
